shutter island,leonardo dicaprio,mark ruffalo,ben kingsley,max von sydow,michelle williams,emily mortimer,patricia clarkson,jackie earle haley
"lock, stock and two smoking barrels",jason flemyng,dexter fletcher,nick moran,jason statham,steven mackintosh,nicholas rowe,nick marcq,charles forbes
no country for old men,tommy lee jones,javier bardem,josh brolin,woody harrelson,kelly macdonald,garret dillahunt,tess harper,barry corbin
klaus,jason schwartzman,j.k. simmons,rashida jones,will sasso,neda margrethe labba,sergio pablos,norm macdonald,joan cusack
a perfect murder,michael douglas,gwyneth paltrow,viggo mortensen,david suchet,sarita choudhury,michael p. moran,novella nelson,constance towers
the thing,kurt russell,wilford brimley,t.k. carter,david clennon,keith david,richard dysart,charles hallahan,peter maloney
the gold rush,charles chaplin,mack swain,tom murray,henry bergman,malcolm waite,georgia hale,jack adams,frank aderias
"three billboards outside ebbing, missouri",frances mcdormand,caleb landry jones,kerry condon,sam rockwell,alejandro barrios,jason ledford,darrell britt-gibson,woody harrelson
the seventh seal,gunnar björnstrand,bengt ekerot,nils poppe,max von sydow,bibi andersson,inga gill,maud hansson,inga landgré
the elephant man,anthony hopkins,john hurt,anne bancroft,john gielgud,wendy hiller,freddie jones,michael elphick,hannah gordon
the sixth sense,bruce willis,haley joel osment,toni collette,olivia williams,trevor morgan,donnie wahlberg,peter anthony tambakis,jeffrey zubernis
dersu uzala,yuriy solomin,maksim munzuk,mikhail bychkov,vladimir khrulyov,v. lastochkin,stanislav marin,igor sykhra,vladimir sergiyakov
jurassic park,sam neill,laura dern,jeff goldblum,richard attenborough,bob peck,martin ferrero,bd wong,joseph mazzello
the truman show,jim carrey,laura linney,noah emmerich,natascha mcelhone,holland taylor,brian delate,blair slater,peter krause
wild strawberries,victor sjöström,bibi andersson,ingrid thulin,gunnar björnstrand,jullan kindahl,folke sundquist,björn bjelfvenstam,naima wifstrand
the third man,joseph cotten,alida valli,orson welles,trevor howard,paul hörbiger,ernst deutsch,erich ponto,siegfried breuer
memories of murder,kang-ho song,kim sang-kyung,roe-ha kim,jae-ho song,byun hee-bong,seo-hie ko,tae-ho ryu,no-shik park
v for vendetta,natalie portman,hugo weaving,stephen rea,stephen fry,john hurt,tim pigott-smith,rupert graves,roger allam
blade runner,harrison ford,rutger hauer,sean young,edward james olmos,m. emmet walsh,daryl hannah,william sanderson,brion james
trainspotting,ewan mcgregor,ewen bremner,jonny lee miller,kevin mckidd,robert carlyle,kelly macdonald,peter mullan,james cosmo
fargo,allison tolman,billy bob thornton,colin hanks,martin freeman,russell harvard,bokeem woodbine,brad mann,kirsten dunst
the bridge on the river kwai,william holden,alec guinness,jack hawkins,sessue hayakawa,james donald,geoffrey horne,andré morell,peter williams
inside out,amy poehler,phyllis smith,richard kind,bill hader,lewis black,mindy kaling,kaitlyn dias,diane lane
finding nemo,albert brooks,ellen degeneres,alexander gould,willem dafoe,brad garrett,allison janney,austin pendleton,stephen root
kill bill: vol. 1,uma thurman,lucy liu,vivica a. fox,daryl hannah,david carradine,michael madsen,julie dreyfus,chiaki kuriyama
warrior,joel edgerton,tom hardy,nick nolte,jennifer morrison,frank grillo,kevin dunn,maximiliano hernández,bryan callen
gone with the wind,thomas mitchell,barbara o'neil,vivien leigh,evelyn keyes,ann rutherford,george reeves,fred crane,hattie mcdaniel
tokyo story,chishû ryû,chieko higashiyama,setsuko hara,haruko sugimura,sô yamamura,kuniko miyake,kyôko kagawa,eijirô tôno
on the waterfront,marlon brando,karl malden,lee j. cobb,rod steiger,pat henning,leif erickson,james westerfield,tony galento
